date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
20/4/2021,2341,7,1592,21189,598,15,3,250,340,1555,184,0,3,121,0,235,4,95,746471,466562
21/4/2021,2340,12,1910,21610,759,15,8,206,417,1499,192,0,14,121,0,325,40,120,762278,478280
22/4/2021,2875,29,2541,21938,983,29,5,304,545,1774,225,0,37,65,1,501,51,152,776637,493334
23/4/2021,2847,4,2341,22429,751,23,13,310,333,1869,242,0,17,131,0,283,62,97,788839,500005
24/4/2021,2717,27,2292,22846,671,28,12,309,374,1772,235,0,19,108,0,242,21,128,796786,503481
25/4/2021,2690,10,1853,23662,846,25,7,289,285,1774,266,0,50,121,0,166,18,349,805878,509165
26/4/2021,2776,4,1803,24621,806,23,7,296,256,1861,274,0,56,113,0,105,17,287,827185,518080
27/4/2021,2733,5,2019,25325,721,22,15,312,313,1815,259,0,17,105,17,161,36,256,849970,529908
28/4/2021,3142,13,1822,26631,677,28,16,377,356,2034,364,0,34,144,18,213,5,57,876381,543086
29/4/2021,3332,9,1943,27998,690,37,11,381,343,2178,361,0,47,138,1,151,45,127,882828,549122
30/4/2021,3788,2,2640,29125,1069,39,19,439,474,2425,387,0,36,208,11,271,42,217,900529,557987
1/5/2021,2881,16,2462,29528,873,40,15,367,273,1894,297,0,41,124,0,260,97,166,903439,560455
2/5/2021,3418,10,2698,30228,1084,38,12,467,390,2172,333,0,26,253,1,306,6,172,911050,568555
3/5/2021,2500,4,2068,30637,737,23,8,301,242,1676,266,0,86,124,0,142,7,245,935517,595219
4/5/2021,3120,6,2334,31409,839,35,22,357,295,2068,347,0,50,152,0,230,70,199,965593,614889
5/5/2021,3744,7,2304,32819,743,48,22,398,312,2589,419,0,34,141,0,126,34,204,997612,637753
6/5/2021,3551,16,2709,33633,924,44,22,383,240,2501,411,0,58,121,9,195,3,360,1034601,656490
